,id,retweet_count,favorite_count,followers_count
1117,727175381690781696,1295,3698,9008769
1118,727155742655025152,1238,3423,9008769
1119,726935089318363137,2287,6519,9008769
1120,726887082820554753,1418,3641,9008769
1121,726828223124897792,945,3389,9008769
1122,726224900189511680,1075,4197,9008769
1123,725842289046749185,2501,6726,9008769
1124,725786712245440512,1288,3953,9008769
1125,725729321944506368,1661,4936,9008769
1126,725458796924002305,574,1346,9008769
1127,724983749226668032,1216,3540,9008769
1128,724771698126512129,588,2215,9008769
1129,724405726123311104,1562,5013,9008768
1130,724049859469295616,1669,4093,9008768
1131,724046343203856385,521,2523,9008768
1132,724004602748780546,1438,3948,9008768
1133,723912936180330496,1159,3695,9008768
1134,723688335806480385,2734,7253,9008768
1135,723673163800948736,835,2867,9008768
1136,723179728551723008,1751,5014,9008768
1137,722974582966214656,1469,3880,9008768
1138,722613351520608256,1538,4725,9008768
1139,721503162398597120,1705,4365,9008768
1140,721001180231503872,575,2401,9008768
1141,720785406564900865,723,2930,9008768
1142,720775346191278080,606,2330,9008768
1143,720415127506415616,1407,3921,9008768
1144,720389942216527872,2341,6034,9008768
1145,720340705894408192,914,2712,9008768
1146,720059472081784833,1052,3658,9008768
1147,720043174954147842,1882,4696,9008768
1148,719991154352222208,1629,4592,9008768
1149,719704490224398336,1335,4304,9008768
1150,719551379208073216,1782,4780,9008768
1151,719367763014393856,706,2658,9008768
1152,719339463458033665,1155,4225,9008768
1153,719332531645071360,890,3267,9008768
1154,718971898235854848,1011,3288,9008768
1155,718939241951195136,1637,4967,9008768
1156,718631497683582976,7499,17858,9008768
1157,718613305783398402,449,2318,9008768
1158,718540630683709445,950,2304,9008768
1159,718460005985447936,491,2556,9008768
1160,718454725339934721,1416,4608,9008768
1161,718246886998687744,459,1813,9008768
1162,718234618122661888,934,3667,9008768
1163,717841801130979328,561,2326,9008768
1164,717790033953034240,1025,2707,9008768
1165,717537687239008257,1729,5477,9008768
1166,717428917016076293,423,1531,9008768
1167,717421804990701568,778,2969,9008768
1168,717047459982213120,1799,5954,9008768
1169,717009362452090881,897,3068,9008768
1170,716802964044845056,1091,4081,9008768
1171,716791146589110272,1486,7831,9008768
1172,716730379797970944,409,1167,9008768
1173,716447146686459905,5507,12381,9008768
1174,716439118184652801,198,2267,9008768
1175,716285507865542656,989,2634,9008768
1176,716080869887381504,1782,6430,9008768
1177,715928423106027520,827,3023,9008768
1178,715758151270801409,1341,3517,9008768
1179,715733265223708672,1583,4435,9008768
1180,715704790270025728,532,2631,9008768
1181,715696743237730304,1212,3716,9008768
1182,715680795826982913,1492,4074,9008768
1183,715360349751484417,1469,5189,9008768
1184,715342466308784130,643,2884,9008768
1185,715220193576927233,612,2292,9008768
1186,715200624753819648,1753,4892,9008768
1187,715009755312439296,1150,3929,9008768
1188,714982300363173890,969,3533,9008768
1189,714962719905021952,3987,6968,9008768
1190,714957620017307648,1322,3935,9008768
1191,714631576617938945,934,3105,9008768
1192,714606013974974464,866,3452,9008768
1193,714485234495041536,1055,2522,9008768
1194,714258258790387713,687,2887,9008768
1195,714251586676113411,783,3112,9008768
1196,714214115368108032,822,2170,9008768
1197,714141408463036416,1320,4105,9008768
1198,713919462244790272,744,3122,9008768
1199,713909862279876608,511,1797,9008768
1200,713900603437621249,686,2696,9008768
1201,713761197720473600,1280,4603,9008768
1202,713411074226274305,1224,4211,9008768
1203,713177543487135744,2686,6848,9008768
1204,713175907180089344,1379,4217,9008768
1205,712809025985978368,6295,18067,9008768
1206,712717840512598017,4648,11679,9008768
1207,712668654853337088,1135,3940,9008768
1208,712438159032893441,1468,5047,9008768
1209,712309440758808576,25,223,9008768
1210,712097430750289920,969,3583,9008768
1211,712092745624633345,839,2798,9008768
1212,712085617388212225,461,3110,9008768
1213,712065007010385924,586,2137,9008768
1214,711998809858043904,122,0,9008768
1215,711968124745228288,2163,7626,9008768
1216,711743778164514816,938,2699,9008768
1217,711732680602345472,3821,8333,9008768
1218,711694788429553666,17218,31108,9009144
1219,711652651650457602,854,3663,9008768
1220,711363825979756544,1066,3431,9008768
1221,711306686208872448,697,3135,9009144
1222,711008018775851008,578,2838,9008768
1223,710997087345876993,1304,4350,9008768
1224,710844581445812225,643,2421,9008768
1225,710833117892898816,501,2546,9008768
1226,710658690886586372,530,2204,9008768
1227,710609963652087808,2244,4544,9008768
1228,710588934686908417,1752,4302,9008768
1229,710296729921429505,693,2263,9008768
1230,710283270106132480,494,2060,9008768
1231,710272297844797440,1182,4285,9008768
1232,710269109699739648,1049,2274,9008768
1233,710153181850935296,840,2764,9008768
1234,710140971284037632,835,2604,9008768
1235,710117014656950272,1853,5172,9008768
1236,709918798883774466,1019,3328,9008768
1237,709901256215666688,97,635,9008768
1238,709852847387627521,1131,3324,9008768
1239,709566166965075968,1124,3362,9008769
1240,709556954897764353,1006,3116,9008769
1241,709519240576036864,225,1431,9008769
1242,709449600415961088,536,2093,9008769
1243,709409458133323776,642,2512,9008769
1244,709225125749587968,539,2280,9008769
1245,709207347839836162,5404,11825,9008769
1246,709198395643068416,607,2333,9008769
1247,709179584944730112,629,1909,9008769
1248,709158332880297985,383,1936,9008769
1249,709042156699303936,1534,4481,9008769
1250,708853462201716736,617,1709,9008769
1251,708845821941387268,838,2817,9008769
1252,708834316713893888,473,1600,9008769
1253,708810915978854401,6484,15657,9008769
1254,708738143638450176,769,2622,9008769
1255,708711088997666817,669,2405,9008769
1256,708479650088034305,641,2413,9008769
1257,708469915515297792,762,2945,9008769
1258,708400866336894977,9429,15107,9008769
1259,708356463048204288,1245,3398,9008769
1260,708349470027751425,698,2243,9008769
1261,708149363256774660,1463,4097,9008769
1262,708130923141795840,802,3205,9008769
1263,708119489313951744,919,2554,9008769
1264,708109389455101952,525,1861,9008769
1265,708026248782585858,1811,4178,9008769
1266,707995814724026368,1058,2970,9008769
1267,707983188426153984,2,48,9008769
1268,707969809498152960,903,2555,9008769
1269,707776935007539200,902,3109,9008769
1270,707741517457260545,576,2363,9008769
1271,707738799544082433,2292,3866,9008769
1272,707693576495472641,939,3217,9008769
1273,707629649552134146,818,2436,9008769
1274,707610948723478529,5951,16118,9008769
1275,707420581654872064,659,2140,9008769
1276,707411934438625280,565,2186,9008769
1277,707387676719185920,1194,3318,9008769
1278,707377100785885184,1014,3097,9008769
1279,707315916783140866,596,2350,9008769
1280,707297311098011648,737,2652,9008769
1281,707059547140169728,635,2468,9008769
1282,707038192327901184,740,2076,9008769
1283,707021089608753152,1274,3886,9008769
1284,707014260413456384,561,2198,9008769
1285,706904523814649856,7375,13837,9008769
1286,706901761596989440,545,1942,9008769
1287,706681918348251136,917,3131,9008769
1288,706644897839910912,1026,2432,9008769
1289,706593038911545345,595,2049,9008769
1290,706538006853918722,1349,3301,9008769
1291,706516534877929472,968,2970,9008769
1292,706346369204748288,867,3273,9008769
1293,706310011488698368,7402,20172,9008769
1294,706291001778950144,450,1623,9008769
1295,706265994973601792,872,2599,9008769
1296,706169069255446529,2077,3701,9008769
1297,706166467411222528,1511,4894,9008769
1298,706153300320784384,359,1407,9008769
1299,705975130514706432,684,2946,9008769
1300,705970349788291072,836,3026,9008769
1301,705898680587526145,518,2261,9008769
1302,705786532653883392,485,1839,9008769
1303,705591895322394625,1077,3006,9008769
1304,705475953783398401,858,2829,9008769
1305,705442520700944385,1506,4185,9008769
1306,705428427625635840,1567,3621,9008769
1307,705239209544720384,707,2850,9008769
1308,705223444686888960,749,2453,9008769
1309,705102439679201280,488,2037,9008769
1310,705066031337840642,572,2075,9008769
1311,704871453724954624,1056,4057,9009145
1312,704859558691414016,498,2147,9008769
1313,704847917308362754,1423,4824,9008769
1314,704819833553219584,919,2508,9008769
1315,704761120771465216,2732,6314,9008769
1316,704499785726889984,939,2756,9008769
1317,704491224099647488,74,711,9008769
1318,704480331685040129,1010,3234,9008769
1319,704364645503647744,3335,7573,9008769
1320,704347321748819968,327,1498,9008769
1321,704134088924532736,427,1432,9008769
1322,704113298707505153,539,1770,9008769
1323,704054845121142784,867,2783,9008769
1324,703774238772166656,421,1763,9008769
1325,703769065844768768,1067,3099,9008769
1326,703631701117943808,628,2437,9008769
1327,703611486317502464,1433,3659,9008769
1328,703425003149250560,1272,3597,9008769
1329,703407252292673536,647,2322,9008769
1330,703382836347330562,1072,3327,9008769
1331,703356393781329922,361,1822,9008769
1332,703268521220972544,510,1886,9008769
1333,703079050210877440,2899,7018,9008769
1334,703041949650034688,11686,25033,9008769
1335,702932127499816960,676,2456,9008769
1336,702899151802126337,422,1519,9008769
1337,702684942141153280,999,3073,9008769
1338,702671118226825216,529,2080,9008769
1339,702598099714314240,3234,11627,9008769
1340,702539513671897089,906,2748,9008769
1341,702332542343577600,1449,3008,9008769
1342,702321140488925184,986,3126,9008769
1343,702276748847800320,722,2343,9008769
1344,702217446468493312,1265,4539,9008769
1345,701981390485725185,921,3275,9008769
1346,701952816642965504,967,3652,9008769
1347,701889187134500865,1300,3361,9008769
1348,701805642395348998,1573,3242,9008769
1349,701601587219795968,429,1993,9008769
1350,701570477911896070,875,2678,9008769
1351,701545186879471618,576,2532,9008769
1352,701214700881756160,4797,11597,9008769
1353,700890391244103680,532,2116,9008769
1354,700864154249383937,589,2471,9008769
1355,700847567345688576,470,2343,9008769
1356,700796979434098688,884,2321,9008769
1357,700747788515020802,8734,21644,9008769
1358,700518061187723268,749,2482,9008769
1359,700505138482569216,543,2175,9008769
1360,700462010979500032,1681,3909,9008769
1361,700167517596164096,685,2501,9008769
1362,700151421916807169,637,2132,9008769
1363,700143752053182464,2544,7142,9008769
1364,700062718104104960,644,2513,9008769
1365,700029284593901568,545,1976,9008769
1366,700002074055016451,1258,3139,9008769
1367,699801817392291840,886,2876,9008769
1368,699788877217865730,485,2126,9008769
1369,699779630832685056,1161,2591,9008769
1370,699775878809702401,570,1864,9008769
1371,699691744225525762,4322,9753,9008769
1372,699446877801091073,2476,5671,9008769
1373,699434518667751424,482,2075,9008769
1374,699423671849451520,303,1292,9008769
1375,699413908797464576,592,1979,9008769
1376,699370870310113280,408,1801,9008769
1377,699323444782047232,813,2994,9008769
1378,699088579889332224,590,2149,9008769
1379,699079609774645248,607,2329,9008769
1380,699072405256409088,1120,2810,9008769
1381,699060279947165696,1689,3548,9008769
1382,699036661657767936,1134,2479,9008769
1383,698989035503689728,913,3168,9008769
1384,698953797952008193,855,2547,9008769
1385,698907974262222848,576,2403,9008769
1386,698710712454139905,639,2348,9008769
1387,698703483621523456,350,1373,9008769
1388,698635131305795584,323,1230,9008769
1389,698549713696649216,587,2212,9008769
1390,698355670425473025,418,1753,9008769
1391,698342080612007937,905,2146,9008769
1392,698262614669991936,1870,4536,9008769
1393,698195409219559425,5625,15962,9008769
1394,698178924120031232,699,2677,9008769
